Partner Name,Partner URL
" Accenture, LLP ",https://www.accenture.com
 Capgemini US ,http://www.capgemini.com
 Cognizant Technology Solutions ,http://www.cognizant.com/
 Infosys Limited ,https://www.infosys.com
 LTIMindtree ,https://www.ltimindtree.com
 Robert Bosch Technical and Business Solutions GmbH ,http://www.bosch-india-software.com
 Sugar CRM ,https://www.sugarcrm.com/
 Tata Consultancy Services Ltd. ,https://www.tcs.com
 Tech Mahindra Limited ,https://www.techmahindra.com/
 Wipro Limited ,http://www.wipro.com/
 ACA GROUP ,https://www.acagroup.be
 Americaneagle.com ,https://www.americaneagle.com/
 Americaneagle.com US ,https://www.americaneagle.com/
 Comture Corporation ,https://www.comture.com/groupware/portal-liferay.html
 Digital Processing System - DPS ,https://www.dpskw.com
 Gulf Business Machines (GBM) L.L.C. ,https://gbmme.com/
 Ibermática ,http://ibermatica.com
 INDRA ,//www.facebook.com/pages/Liferay/45119213107
 Mannai Trading Company W.L.L. ,https://mannai-ict.com/
 NTT DATA ,https://es.nttdata.com/
 Orange Business ,https://www.orange-business.com/en
 Orange Business ,http://www.orange-business.com/fr/applications-for-business
 Placecube Ltd ,https://www.placecube.com/
 Protiviti Member Firm Middle East ,http://www.protiviti.com
 PYXISINFO TECNOLOGIA LTDA ,//www.facebook.com/pages/Liferay/45119213107
" Ricoh Portugal, Unipessoal, Lda. ",https://www.ricoh.pt
 Ricoh Spain IT Services S.L.U. ,http://www.ricoh.es/
 SMC Treviso S.R.L ,http://www.smc.it
 Technopolis S.A. ,http://www.open.gr/
 USU GmbH ,https://www.usu.com/de-de/liferay-dxp
 VASS ,https://vasscompany.com/
 Webtown Informatika Kft. ,http://www.webtown.hu
 Ambientia Oy ,http://www.ambientia.net
 Ancud IT - Beratung GmbH ,http://www.ancud.de/
 Appswave ,https://www.appswave.io/
 ARHS Developments Belgium ,https://www.arhs-dev.com
 Aria PSW S.A.S. ,http://ariapsw.com/
 Ariadne S.r.l ,http://www.ariadne.it/
 AT Sistemas ,https://www.atsistemas.com/es
 Atlantis Technology ,https://www.atlantistecnologia.com
 Celfocus ,http://www.celfocus.com
 CIGNEX ,http://www.cignex.com/
 Global Quark S.A. de C.V. ,http://www.globalquark.com/
 GreenIntegration S.A. ,http://www.greensoft.com.ec/
 Hexaware Technologies ,//www.facebook.com/pages/Liferay/45119213107
 HIBERUS TECNOLOGÍA DE LA INFORMACIÓN. S. L ,https://www.hiberus.com/
 INETUM ,http://www.gfi.fr/
" Inetum España, S.A.U ",https://www.inetum.com/es
" Inetum Tech Portugal, S.A. ",https://www.inetum.com/pt-pt
 ISA Paraguay ,http://www.isaportal.com.py/inicio
 Lundegaard a.s. ,https://www.lundegaard.eu/en/
 Mimacom Deutschland GmbH ,http://www.mimacom.de/
 Mimacom Ibérica S.L. ,//www.facebook.com/pages/Liferay/45119213107
 Open Reply s.r.l ,http://www.reply.com/it/
 PRODYNA SE (DE) ,http://www.prodyna.com/
